Year,Land,Land and Ocean,N Hem,S Hem,Band 1,Band 2,Band 3
2015,0.99,0.86,1.12,0.6,1.26,0.91,0.41
2014,0.88,0.74,0.9,0.57,1.04,0.66,0.54
2013,0.82,0.65,0.75,0.54,0.87,0.57,0.53
2012,0.78,0.62,0.76,0.48,0.96,0.51,0.44
2011,0.79,0.59,0.7,0.48,0.92,0.36,0.58
2010,0.92,0.71,0.88,0.54,0.98,0.68,0.47
2009,0.79,0.64,0.7,0.58,0.73,0.67,0.5
2008,0.65,0.53,0.65,0.41,0.86,0.38,0.39
2007,0.85,0.65,0.83,0.48,1.08,0.46,0.47
2006,0.77,0.63,0.79,0.46,0.95,0.56,0.4
2005,0.87,0.68,0.83,0.53,0.97,0.63,0.45
2004,0.68,0.54,0.67,0.41,0.74,0.55,0.31
2003,0.77,0.61,0.72,0.5,0.8,0.62,0.41
2002,0.79,0.62,0.7,0.54,0.81,0.59,0.48
2001,0.68,0.54,0.64,0.44,0.79,0.43,0.44
2000,0.57,0.42,0.51,0.32,0.71,0.27,0.33
1999,0.6,0.41,0.52,0.31,0.74,0.25,0.32
1998,0.84,0.63,0.73,0.53,0.8,0.71,0.36
1997,0.53,0.47,0.53,0.41,0.55,0.52,0.33
1996,0.47,0.34,0.27,0.41,0.26,0.33,0.45
1995,0.56,0.45,0.58,0.33,0.7,0.43,0.23
1994,0.37,0.31,0.36,0.26,0.43,0.31,0.2
1993,0.27,0.24,0.2,0.28,0.14,0.33,0.22
1992,0.23,0.23,0.12,0.33,0.08,0.3,0.28
1991,0.52,0.42,0.41,0.44,0.46,0.39,0.43
1990,0.52,0.43,0.51,0.36,0.61,0.37,0.35
1989,0.38,0.29,0.29,0.28,0.42,0.15,0.32
1988,0.49,0.4,0.37,0.43,0.4,0.37,0.42
1987,0.4,0.33,0.26,0.4,0.07,0.59,0.26
1986,0.24,0.19,0.13,0.24,0.1,0.24,0.21
1985,0.2,0.12,-0.01,0.25,-0.03,0.1,0.29
1984,0.22,0.16,0.04,0.27,0.02,0.19,0.25
1983,0.39,0.31,0.26,0.35,0.24,0.43,0.2
1982,0.13,0.13,0.06,0.2,-0.07,0.27,0.14
1981,0.44,0.33,0.39,0.27,0.5,0.18,0.35
1980,0.34,0.27,0.16,0.39,0.06,0.29,0.46
1979,0.2,0.17,0.08,0.26,-0.03,0.25,0.25
1978,0.14,0.07,0.02,0.12,-0.03,0.08,0.15
1977,0.21,0.18,0.12,0.24,0.14,0.16,0.25
1976,-0.17,-0.11,-0.21,-0.02,-0.26,-0.11,0.02
1975,0.02,-0.01,-0.05,0.02,0.12,-0.22,0.12
1974,-0.04,-0.08,-0.19,0.04,-0.17,-0.19,0.17
1973,0.22,0.15,0.1,0.2,0.13,0.17,0.14
1972,-0.03,0.01,-0.18,0.21,-0.35,0.16,0.16
1971,-0.08,-0.09,-0.15,-0.04,-0.05,-0.26,0.09
1970,0.07,0.03,-0.03,0.08,-0.1,0.06,0.1
1969,0.01,0.06,-0.02,0.14,-0.26,0.32,0.04
1968,-0.1,-0.07,-0.05,-0.09,-0.08,-0.06,-0.08
1967,-0.02,-0.02,0.03,-0.08,0.12,-0.14,-0.02
1966,-0.07,-0.05,-0.01,-0.1,-0.12,0.08,-0.16
1965,-0.17,-0.1,-0.13,-0.07,-0.17,-0.03,-0.13
1964,-0.26,-0.21,-0.2,-0.21,-0.24,-0.14,-0.26
1963,0.01,0.06,0.15,-0.03,0.16,0.11,-0.12
1962,0.01,0.02,0.14,-0.09,0.27,-0.05,-0.12
1961,0.08,0.05,0.08,0.03,0.17,-0.03,0.04
1960,-0.02,-0.03,0.08,-0.13,0.09,0.01,-0.2
1959,0.04,0.03,0.11,-0.04,0.14,0.07,-0.13
1958,0.05,0.06,0.16,-0.05,0.09,0.2,-0.17
1957,0.04,0.04,0.04,0.05,0.02,0.07,0.03
1956,-0.22,-0.19,-0.25,-0.14,-0.23,-0.32,0.01
1955,-0.11,-0.14,-0.09,-0.19,0.03,-0.32,-0.07
1954,-0.13,-0.12,-0.04,-0.2,0.03,-0.21,-0.15
1953,0.07,0.08,0.23,-0.07,0.34,0.06,-0.14
1952,-0.02,0.01,0.06,-0.03,0.09,0.02,-0.08
1951,-0.08,-0.07,0.05,-0.19,0.07,-0.06,-0.23
1950,-0.23,-0.18,-0.16,-0.2,-0.08,-0.28,-0.14
1949,-0.13,-0.09,-0.02,-0.17,0.12,-0.18,-0.19
1948,-0.09,-0.09,-0.01,-0.18,0.14,-0.19,-0.2
1947,0.06,-0.04,0.05,-0.12,0.14,-0.1,-0.13
1946,-0.07,-0.03,0.06,-0.13,0.08,-0.02,-0.16
1945,-0.08,0.12,0.09,0.15,0.09,0.21,0.03
1944,0.06,0.26,0.28,0.23,0.39,0.21,0.18
1943,0.01,0.14,0.21,0.07,0.37,0,0.09
1942,0.05,0.1,0.14,0.05,0.13,0.14,0.02
1941,0.04,0.12,0.15,0.1,-0.04,0.38,-0.06
1940,0.08,0.08,0.13,0.03,0.09,0.18,-0.07
1939,-0.1,-0.03,0.07,-0.13,0.22,-0.18,-0.09
1938,0.07,-0.03,0.13,-0.18,0.35,-0.26,-0.09
1937,0,-0.02,0.12,-0.17,0.19,-0.07,-0.18
1936,-0.09,-0.15,-0.04,-0.26,-0.03,-0.15,-0.27
1935,-0.22,-0.19,-0.09,-0.29,-0.02,-0.22,-0.32
1934,-0.1,-0.14,0,-0.28,0.19,-0.28,-0.28
1933,-0.24,-0.28,-0.25,-0.32,-0.23,-0.3,-0.32
